Tournament,Stage,Group,Date,Home,Result,Away,Location
Russia 2018,Round of 16,N/As,"July 2, 2018",Brazil,2 - 0,Mexico,"Samara Arena, Samara"
Russia 2018,Round of 16,N/As,"July 2, 2018",Belgium,3 - 2,Japan,"Rostov Arena, Rostov-on-Don"
Russia 2018,Round of 16,N/As,"July 3, 2018",Sweden,1 - 0,Switzerland,"Gazprom Arena, Saint Petersburg"
Russia 2018,Round of 16,N/As,"July 3, 2018",Colombia,1 - 1,England,"Otkritie Arena, Moscow"
Russia 2018,Quarter-Finals,N/As,"July 6, 2018",Uruguay,0 - 2,France,"Nizhny Novgorod Stadium, Nizhny Novgorod"
Russia 2018,Quarter-Finals,N/As,"July 6, 2018",Brazil,1 - 2,Belgium,"Kazan Arena, Kazan"
Russia 2018,Quarter-Finals,N/As,"July 7, 2018",Sweden,0 - 2,England,"Samara Arena, Samara"
Russia 2018,Quarter-Finals,N/As,"July 7, 2018",Russia,2 - 2,Croatia,"Fisht Olympic Stadium, Sochi"
Russia 2018,Semi-Finals,N/As,"July 10, 2018",France,1 - 0,Belgium,"Gazprom Arena, Saint Petersburg"
Russia 2018,Semi-Finals,N/As,"July 11, 2018",Croatia,2 - 1,England,"Luzhniki Stadium, Moscow"
Russia 2018,Third Place Playoff,N/As,"July 14, 2018",Belgium,2 - 0,England,"Gazprom Arena, Saint Petersburg"
Russia 2018,Final,N/As,"July 15, 2018",France,4 - 2,Croatia,"Luzhniki Stadium, Moscow"
