Tournament,Stage,Group,Home,Result,Away
Germany 2006,Group stage,Group E,Czech Republic,0–2,Italy
Germany 2006,Group stage,Group E,Ghana,2–1,United States
Germany 2006,Group stage,Group F,Australia,3–1,Japan
Germany 2006,Group stage,Group F,Brazil,1–0,Croatia
Germany 2006,Group stage,Group F,Japan,0–0,Croatia
Germany 2006,Group stage,Group F,Brazil,2–0,Australia
Germany 2006,Group stage,Group F,Japan,1–4,Brazil
Germany 2006,Group stage,Group F,Croatia,2–2,Australia
Germany 2006,Group stage,Group G,South Korea,2–1,Togo
Germany 2006,Group stage,Group G,France,0–0,Switzerland
Germany 2006,Group stage,Group G,France,1–1,South Korea
Germany 2006,Group stage,Group G,Togo,0–2,Switzerland
Germany 2006,Group stage,Group G,Togo,0–2,France
Germany 2006,Group stage,Group G,Switzerland,2–0,South Korea
Germany 2006,Group stage,Group H,Spain,4–0,Ukraine
Germany 2006,Group stage,Group H,Tunisia,2–2,Saudi Arabia
Germany 2006,Group stage,Group H,Saudi Arabia,0–4,Ukraine
Germany 2006,Group stage,Group H,Spain,3–1,Tunisia
Germany 2006,Group stage,Group H,Saudi Arabia,0–1,Spain
Germany 2006,Group stage,Group H,Ukraine,1–0,Tunisia
Germany 2006,Round of 16,Knockout Stage,Germany,2–0,Sweden
Germany 2006,Round of 16,Knockout Stage,Argentina,2–1(a.e.t.),Mexico
Germany 2006,Round of 16,Knockout Stage,England,1–0,Ecuador
Germany 2006,Round of 16,Knockout Stage,Portugal,1–0,Netherlands
Germany 2006,Round of 16,Knockout Stage,Italy,1–0,Australia
Germany 2006,Round of 16,Knockout Stage,Switzerland,0–0(a.e.t.),Ukraine
Germany 2006,Round of 16,Knockout Stage,Brazil,3–0,Ghana
Germany 2006,Round of 16,Knockout Stage,Spain,1–3,France
Germany 2006,Quarter-finals,Knockout Stage,Germany,1–1(a.e.t.),Argentina
Germany 2006,Quarter-finals,Knockout Stage,Italy,3–0,Ukraine
Germany 2006,Quarter-finals,Knockout Stage,England,0–0(a.e.t.),Portugal
Germany 2006,Quarter-finals,Knockout Stage,Brazil,0–1,France
Germany 2006,Semi-finals,Knockout Stage,Germany,0–2(a.e.t.),Italy
Germany 2006,Semi-finals,Knockout Stage,Portugal,0–1,France
Germany 2006,Third place play-off,Knockout Stage,Germany,3–1,Portugal
Germany 2006,Final,Knockout Stage,Italy,1–1(a.e.t.),France
South Africa 2010,Group stage,Group A,South Africa,1–1,Mexico
South Africa 2010,Group stage,Group A,Uruguay,0–0,France
South Africa 2010,Group stage,Group A,South Africa,0–3,Uruguay
South Africa 2010,Group stage,Group A,France,0–2,Mexico
South Africa 2010,Group stage,Group A,Mexico,0–1,Uruguay
South Africa 2010,Group stage,Group A,France,1–2,South Africa
South Africa 2010,Group stage,Group B,South Korea,2–0,Greece
South Africa 2010,Group stage,Group B,Argentina,1–0,Nigeria
South Africa 2010,Group stage,Group B,Argentina,4–1,South Korea
South Africa 2010,Group stage,Group B,Greece,2–1,Nigeria
South Africa 2010,Group stage,Group B,Nigeria,2–2,South Korea
South Africa 2010,Group stage,Group B,Greece,0–2,Argentina
South Africa 2010,Group stage,Group C,England,1–1,United States
South Africa 2010,Group stage,Group C,Algeria,0–1,Slovenia
South Africa 2010,Group stage,Group C,Slovenia,2–2,United States
South Africa 2010,Group stage,Group C,England,0–0,Algeria
South Africa 2010,Group stage,Group C,Slovenia,0–1,England
South Africa 2010,Group stage,Group C,United States,1–0,Algeria
South Africa 2010,Group stage,Group D,Serbia,0–1,Ghana
South Africa 2010,Group stage,Group D,Germany,4–0,Australia
South Africa 2010,Group stage,Group D,Germany,0–1,Serbia
South Africa 2010,Group stage,Group D,Ghana,1–1,Australia
South Africa 2010,Group stage,Group D,Ghana,0–1,Germany
South Africa 2010,Group stage,Group D,Australia,2–1,Serbia
South Africa 2010,Group stage,Group E,Netherlands,2–0,Denmark
South Africa 2010,Group stage,Group E,Japan,1–0,Cameroon
South Africa 2010,Group stage,Group E,Netherlands,1–0,Japan
South Africa 2010,Group stage,Group E,Cameroon,1–2,Denmark
South Africa 2010,Group stage,Group E,Denmark,1–3,Japan
South Africa 2010,Group stage,Group E,Cameroon,1–2,Netherlands
South Africa 2010,Group stage,Group F,Italy,1–1,Paraguay
South Africa 2010,Group stage,Group F,New Zealand,1–1,Slovakia
South Africa 2010,Group stage,Group F,Slovakia,0–2,Paraguay
South Africa 2010,Group stage,Group F,Italy,1–1,New Zealand
South Africa 2010,Group stage,Group F,Slovakia,3–2,Italy
South Africa 2010,Group stage,Group F,Paraguay,0–0,New Zealand
South Africa 2010,Group stage,Group G,Ivory Coast,0–0,Portugal
South Africa 2010,Group stage,Group G,Brazil,2–1,North Korea
South Africa 2010,Group stage,Group G,Brazil,3–1,Ivory Coast
South Africa 2010,Group stage,Group G,Portugal,7–0,North Korea
South Africa 2010,Group stage,Group G,Portugal,0–0,Brazil
South Africa 2010,Group stage,Group G,North Korea,0–3,Ivory Coast
South Africa 2010,Group stage,Group H,Honduras,0–1,Chile
South Africa 2010,Group stage,Group H,Spain,0–1,Switzerland
South Africa 2010,Group stage,Group H,Chile,1–0,Switzerland
South Africa 2010,Group stage,Group H,Spain,2–0,Honduras
South Africa 2010,Group stage,Group H,Chile,1–2,Spain
South Africa 2010,Group stage,Group H,Switzerland,0–0,Honduras
South Africa 2010,Round of 16,Knockout Stage,Uruguay,2–1,South Korea
South Africa 2010,Round of 16,Knockout Stage,United States,1–2(a.e.t.),Ghana
South Africa 2010,Round of 16,Knockout Stage,Germany,4–1,England
South Africa 2010,Round of 16,Knockout Stage,Argentina,3–1,Mexico
South Africa 2010,Round of 16,Knockout Stage,Netherlands,2–1,Slovakia
South Africa 2010,Round of 16,Knockout Stage,Brazil,3–0,Chile
South Africa 2010,Round of 16,Knockout Stage,Paraguay,0–0(a.e.t.),Japan
South Africa 2010,Round of 16,Knockout Stage,Spain,1–0,Portugal
South Africa 2010,Quarter-finals,Knockout Stage,Netherlands,2–1,Brazil
South Africa 2010,Quarter-finals,Knockout Stage,Uruguay,1–1(a.e.t.),Ghana
South Africa 2010,Quarter-finals,Knockout Stage,Argentina,0–4,Germany
South Africa 2010,Quarter-finals,Knockout Stage,Paraguay,0–1,Spain
South Africa 2010,Semi-finals,Knockout Stage,Uruguay,2–3,Netherlands
South Africa 2010,Semi-finals,Knockout Stage,Germany,0–1,Spain
South Africa 2010,Third place play-off,Knockout Stage,Uruguay,2–3,Germany
South Africa 2010,Final,Knockout Stage,Netherlands,0–1(a.e.t.),Spain
Brazil 2014,Group stage,Group A,Brazil,3–1,Croatia
Brazil 2014,Group stage,Group A,Mexico,1–0,Cameroon
Brazil 2014,Group stage,Group A,Brazil,0–0,Mexico
Brazil 2014,Group stage,Group A,Cameroon,0–4,Croatia
Brazil 2014,Group stage,Group A,Cameroon,1–4,Brazil
Brazil 2014,Group stage,Group A,Croatia,1–3,Mexico
Brazil 2014,Group stage,Group B,Spain,1–5,Netherlands
Brazil 2014,Group stage,Group B,Chile,3–1,Australia
Brazil 2014,Group stage,Group B,Australia,2–3,Netherlands
Brazil 2014,Group stage,Group B,Spain,0–2,Chile
